country,year,sex,age,suicides_no,population,gdp_for_year ($),gdp_per_capita ($),generation
Albania,1987,male,15-24 years,20-25,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1987,male,35-54 years,15-20,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1987,female,15-24 years,10-15,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1987,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1987,male,25-34 years,5-10,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1987,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1987,female,35-54 years,5-10,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1987,female,25-34 years,0-5,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1987,male,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,G.I. Generation
Albania,1987,female,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1987,female,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,G.I. Generation
Albania,1987,male,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1988,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1988,male,15-24 years,15-20,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1988,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1988,male,35-54 years,10-15,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1988,male,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,G.I. Generation
Albania,1988,female,15-24 years,5-10,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1988,female,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,G.I. Generation
Albania,1988,female,25-34 years,0-5,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1988,male,25-34 years,0-5,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1988,female,35-54 years,0-5,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1988,female,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1988,male,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1989,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1989,male,25-34 years,15-20,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1989,male,35-54 years,10-15,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1989,male,55-74 years,5-10,1e5-1e6,1e8-1e9,500-1000,G.I. Generation
Albania,1989,male,15-24 years,10-15,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1989,female,35-54 years,5-10,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1989,female,15-24 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1989,female,25-34 years,0-5,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1989,female,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,G.I. Generation
Albania,1989,female,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1989,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1989,male,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1992,male,35-54 years,10-15,1e5-1e6,1e7-1e8,0-500,Boomers
Albania,1992,male,15-24 years,5-10,1e5-1e6,1e7-1e8,0-500,Generation X
Albania,1992,male,55-74 years,0-5,1e5-1e6,1e7-1e8,0-500,Silent
Albania,1992,male,25-34 years,5-10,1e5-1e6,1e7-1e8,0-500,Boomers
Albania,1992,female,15-24 years,5-10,1e5-1e6,1e7-1e8,0-500,Generation X
Albania,1992,female,25-34 years,0-5,1e5-1e6,1e7-1e8,0-500,Boomers
Albania,1992,female,35-54 years,0-5,1e5-1e6,1e7-1e8,0-500,Boomers
Albania,1992,female,55-74 years,0-5,1e5-1e6,1e7-1e8,0-500,Silent
Albania,1992,female,5-14 years,0-5,1e5-1e6,1e7-1e8,0-500,Millenials
Albania,1992,female,75+ years,0-5,1e4-1e5,1e7-1e8,0-500,G.I. Generation
Albania,1992,male,5-14 years,0-5,1e5-1e6,1e7-1e8,0-500,Millenials
Albania,1992,male,75+ years,0-5,1e4-1e5,1e7-1e8,0-500,G.I. Generation
Albania,1993,male,15-24 years,15-20,1e5-1e6,1e8-1e9,0-500,Generation X
Albania,1993,male,55-74 years,5-10,1e5-1e6,1e8-1e9,0-500,Silent
Albania,1993,male,75+ years,0-5,1e4-1e5,1e8-1e9,0-500,G.I. Generation
Albania,1993,male,25-34 years,5-10,1e5-1e6,1e8-1e9,0-500,Boomers
